Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Ensemble des candidats bacheliers;21;19.0;16
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Chimie;6;4.0;1
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Géographie;2;2.0;1
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence LEA;6;6.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Pluri Sciences humaines et sociales;0;0.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Sciences de l'éducation;7;2.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Sciences politiques;2;0.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;PASS;21;6.0;4
Sciences de l'ingénieur,Sciences de la vie et de la terre;CPGE L;1;0.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Ecoles de Commerce;3;3.0;2
Sciences de l'ingénieur,Sciences de la vie et de la terre;CUPGE;0;0.0;0
Arts,Arts;Licence Génie civil;0;0.0;0
Arts,Arts;Licence LEA;0;0.0;0
Arts,Arts;Licence MASS;0;0.0;0
Arts,Arts;Licence Mathématiques;0;0.0;0
Arts,Arts;Licence Mathématiques et informatique;0;0.0;0
Arts,Arts;Licence Physique;0;0.0;0
Arts,Arts;Licence Pluri Lettres - Sciences du langage - Arts;0;0.0;0
Arts,Arts;Licence Pluri Sciences;0;0.0;0
Arts,Arts;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;0;0.0;0
Arts,Arts;Licence Sciences économiques;0;0.0;0
Arts,Arts;PASS;0;0.0;0
Arts,Arts;CPGE L;0;0.0;0
Arts,Arts;Autres formations;0;0.0;0
Arts,Arts;CUPGE;0;0.0;0
Arts,Arts;DCG;0;0.0;0
Arts,Humanités, Littérature et Philosophie;Licence AES;35;17.0;4
Arts,Humanités, Littérature et Philosophie;Licence Arts;1799;1495.0;711
Arts,Humanités, Littérature et Philosophie;Licence Langues et littératures étrangères;408;329.0;101
Arts,Humanités, Littérature et Philosophie;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Arts,Humanités, Littérature et Philosophie;Licence Pluri Sciences;11;5.0;1
Arts,Humanités, Littérature et Philosophie;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Arts,Humanités, Littérature et Philosophie;Licence Psychlogie, Sciences cognitives;806;441.0;213
Arts,Humanités, Littérature et Philosophie;Licence Sciences religieuses;3;3.0;0
Arts,Humanités, Littérature et Philosophie;BTS agricole;34;14.0;6
Arts,Humanités, Littérature et Philosophie;BTS production;84;18.0;10
Arts,Humanités, Littérature et Philosophie;CPGE L;391;266.0;138
Arts,Humanités, Littérature et Philosophie;Ecoles de Commerce;12;4.0;3
Arts,Humanités, Littérature et Philosophie;D.E social;61;20.0;16
Arts,Humanités, Littérature et Philosophie;D.E sanitaire;63;20.0;15
Arts,Humanités, Littérature et Philosophie;Autres formations;385;152.0;80
Arts,Humanités, Littérature et Philosophie;CUPGE;2;2.0;0
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Formation générale aux métiers de l'ingénieur;0;0.0;0
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Génie civil;0;0.0;0
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Géographie;235;163.0;47
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Histoire;1186;1052.0;404
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Langues et littératures étrangères;272;224.0;62
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence STAPS;124;62.0;30
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Sciences de la vie, biologie, santé;12;4.0;1
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Sciences du langage - Linguistique;73;61.0;15
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Sociologie, Démographie;280;215.0;43
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;BTS production;80;17.0;5
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;CPGE ECG;22;3.0;1
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Ecoles de Commerce;23;18.0;10
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;DCG;4;3.0;1
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;DEUST;49;24.0;13
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Ensemble des candidats bacheliers;2807;2613.0;2132
Arts,Littératures, langues et culture de l'antiquité;Licence Génie civil;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Mathématiques et informatique;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Sciences politiques;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;BTS production;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;CPGE S;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Autres formations;3;3.0;1
Arts,Littératures, langues et culture de l'antiquité;DCG;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Formations des écoles nationales vétérinaires;0;0.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Arts;3002;2368.0;1107
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Langues et littératures françaises;776;601.0;121
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence MASS;2;2.0;1
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Physique;1;1.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;4;1.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Sciences humaines et sociales;11;7.0;2
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence STAPS;130;50.0;22
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences de gestion;16;6.0;1
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences économiques;10;2.0;1
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sociologie, Démographie;241;184.0;41
Arts,Langues, Littératures et Cultures Etrangères et Régionales;BTS agricole;44;27.0;11
Arts,Langues, Littératures et Cultures Etrangères et Régionales;CPGE ECG;13;2.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;CPGE L;296;192.0;84
Arts,Langues, Littératures et Cultures Etrangères et Régionales;D.E social;33;16.0;14
Arts,Langues, Littératures et Cultures Etrangères et Régionales;D.E sanitaire;93;17.0;13
Arts,Langues, Littératures et Cultures Etrangères et Régionales;CUPGE;2;0.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;DCG;7;2.0;1
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Formations des écoles nationales vétérinaires;0;0.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Ensemble des candidats bacheliers;5937;5451.0;4349
Arts,Mathématiques;Licence AES;38;24.0;5
Arts,Mathématiques;Licence Arts;731;600.0;215
Arts,Mathématiques;Licence Langues et littératures étrangères;146;125.0;25
Arts,Mathématiques;Licence Mécanique, Génie mécanique, Ingénierie mécanique;3;1.0;0
Arts,Mathématiques;Licence Philosophie, Epistémologie;31;22.0;3
Arts,Mathématiques;Licence Physique et chimie;5;3.0;1
Arts,Mathématiques;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Arts,Mathématiques;Licence Pluri Langues;5;2.0;0
Arts,Mathématiques;Licence Pluri Sciences;3;2.0;0
Arts,Mathématiques;Licence Pluri Sciences fondamentales et applications;2;0.0;0
Arts,Mathématiques;Licence Pluri Sciences économiques - Gestion;68;41.0;9
Arts,Mathématiques;Licence Sciences économiques;17;9.0;3
Arts,Mathématiques;Licence Las;123;35.0;8
Arts,Mathématiques;PASS;38;13.0;3
Arts,Mathématiques;CPGE S;102;26.0;8
Arts,Numérique et Sciences Informatiques;Licence Chimie;0;0.0;0
Arts,Numérique et Sciences Informatiques;Licence Informatique;62;40.0;8
Arts,Numérique et Sciences Informatiques;Licence Mathématiques;18;8.0;2
Arts,Numérique et Sciences Informatiques;Licence Physique et chimie;0;0.0;0
Arts,Numérique et Sciences Informatiques;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;1;0.0;0
Arts,Numérique et Sciences Informatiques;Licence Sociologie, Démographie;7;4.0;2
Arts,Numérique et Sciences Informatiques;CPGE ECG;2;1.0;0
Arts,Numérique et Sciences Informatiques;CPGE L;4;3.0;1
Arts,Numérique et Sciences Informatiques;Ecoles de Commerce;3;3.0;2
Arts,Numérique et Sciences Informatiques;D.E sanitaire;2;1.0;1
Arts,Numérique et Sciences Informatiques;Formations d'ART;163;51.0;32
Arts,Numérique et Sciences Informatiques;Sciences Po;0;0.0;0
Arts,Physique-Chimie;Licence Archéologie, Ethno, Préhistoire, Anthropologie;3;2.0;1
Arts,Physique-Chimie;Licence Histoire;77;65.0;17
Arts,Physique-Chimie;Licence Mathématiques;13;6.0;1
Arts,Physique-Chimie;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Arts,Physique-Chimie;Licence Pluri Sciences humaines et sociales;0;0.0;0
Arts,Physique-Chimie;Licence Psychlogie, Sciences cognitives;41;29.0;9
Arts,Physique-Chimie;Licence Sciences de la vie, biologie, santé;12;4.0;0
Arts,Physique-Chimie;Licence Sciences et technologies industrielles;10;6.0;3
Arts,Physique-Chimie;Licence Sociologie, Démographie;8;8.0;2
Arts,Physique-Chimie;BTS service;195;85.0;39
Arts,Physique-Chimie;Ensemble des candidats bacheliers;513;470.0;350
Arts,Sciences économiques et sociales;Licence Electronique, Génie électrique, EEA;0;0.0;0
Arts,Sciences économiques et sociales;Licence Histoire;313;263.0;62
Arts,Sciences économiques et sociales;Licence LEA;167;129.0;42
Arts,Sciences économiques et sociales;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Arts,Sciences économiques et sociales;Licence Pluri Sciences;10;8.0;1
Arts,Sciences économiques et sociales;Licence Sciences politiques;68;15.0;3
Arts,Sciences économiques et sociales;BTS service;770;370.0;143
Arts,Sciences économiques et sociales;CPGE ECG;44;16.0;5
Arts,Sciences économiques et sociales;CPGE S;30;5.0;0
Arts,Sciences économiques et sociales;Ecoles d'Ingénieurs;3;0.0;0
Arts,Sciences économiques et sociales;D.E social;42;20.0;14
Arts,Sciences économiques et sociales;Formations d'ART;548;209.0;121
Arts,Sciences de la vie et de la terre;Licence Informatique;7;5.0;3
Arts,Sciences de la vie et de la terre;Licence Langues et littératures étrangères;63;50.0;15
Arts,Sciences de la vie et de la terre;Licence Physique et chimie;0;0.0;0
Arts,Sciences de la vie et de la terre;Licence STAPS;140;78.0;48
Arts,Sciences de la vie et de la terre;Licence Sciences de l'information et de la communication;27;11.0;2
Arts,Sciences de la vie et de la terre;Licence Sciences politiques;3;0.0;0
Arts,Sciences de la vie et de la terre;Licence Sciences économiques;3;1.0;0
Arts,Sciences de la vie et de la terre;BTS service;175;67.0;32
Arts,Sciences de la vie et de la terre;CPGE S;17;2.0;1
Arts,Sciences de la vie et de la terre;D.E sanitaire;130;51.0;31
Arts,Sciences de la vie et de la terre;Autres formations;130;47.0;24
Arts,Sciences de l'ingénieur;Licence Chimie;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Informatique;1;0.0;0
Arts,Sciences de l'ingénieur;Licence Philosophie, Epistémologie;1;1.0;0
Arts,Sciences de l'ingénieur;Licence Sciences du langage - Linguistique;1;1.0;0
Arts,Sciences de l'ingénieur;Licence Sciences économiques;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Las;3;1.0;0
Arts,Sciences de l'ingénieur;BUT Production;9;3.0;1
Arts,Sciences de l'ingénieur;BTS service;12;5.0;2
Arts,Sciences de l'ingénieur;CPGE L;0;0.0;0
Arts,Sciences de l'ingénieur;CPGE S;0;0.0;0
Arts,Sciences de l'ingénieur;Formations d'ART;20;9.0;4
Arts,Sciences de l'ingénieur;Autres formations;11;2.0;2
Arts,Sciences de l'ingénieur;CUPGE;0;0.0;0
Arts,Sciences de l'ingénieur;DCG;0;0.0;0
Arts,Sciences de l'ingénieur;DEUST;0;0.0;0
Arts,Sciences de l'ingénieur;Formations des écoles nationales vétérinaires;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Arts;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Formation générale aux métiers de l'ingénieur;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Géographie;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Langues et littératures étrangères;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Physique et chimie;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Pluri Lettres - Langues - Sciences humaines;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Pluri Sciences économiques - Gestion;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence STAPS;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;BTS service;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Formations d'ART;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;DCG;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Sciences Po;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Formation générale aux métiers de l'ingénieur;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence MASS;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Mathématiques et informatique;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Sciences de l'information et de la communication;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Sciences du langage - Linguistique;2;2.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Sciences et technologies industrielles;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;BTS agricole;4;3.0;2
